city,neighbourhood,listing_count,avg_price,avg_availability,professional_share,listing_count_norm,availability_norm,UPI,price_norm,UPI_alt
Copenhagen,Amager Vest,1225,182.2676751020408,146.66448979591837,8.0,0.48344693281402146,0.24106716839769948,0.3623,0.4431302253290197,0.3892
Copenhagen,Amager st,1020,167.8864980392157,143.48627450980393,8.137254901960784,0.3836416747809153,0.16289861391433647,0.2733,0.3081357939749738,0.2849
Copenhagen,Bispebjerg,595,135.06028907563027,158.69579831932774,8.739495798319327,0.17672833495618306,0.5369785246633287,0.3569,0.0,0.2379
Copenhagen,Brnshj-Husum,232,144.6506896551724,177.52155172413794,3.8793103448275863,0.0,0.9999999999999996,0.5,0.09002397140630691,0.3633
Copenhagen,Frederiksberg,1402,183.69220827389447,150.2567760342368,4.065620542082739,0.5696202531645569,0.3294198434876021,0.4495,0.45650215202453737,0.4518
Copenhagen,Indre By,2074,241.59192092574736,176.37512054001928,20.588235294117645,0.8967867575462514,0.9718033989488588,0.9343,1.0,0.9562
Copenhagen,Nrrebro,2220,159.3692783783784,136.86306306306307,3.8288288288288284,0.9678675754625123,0.0,0.4839,0.22818564665328012,0.3987
Copenhagen,Valby,475,144.42802105263158,151.70105263157896,4.421052631578947,0.11830574488802337,0.3649419852322575,0.2416,0.08793380721118682,0.1904
Copenhagen,Vanlse,331,147.79025981873113,155.75226586102718,0.3021148036253776,0.04819863680623174,0.46458202013908156,0.2564,0.11949475026357526,0.2108
Copenhagen,Vesterbro-Kongens Enghave,2286,179.786791776028,144.002624671916,5.599300087489064,1.0,0.17559830293662948,0.5878,0.4198424629721711,0.5318
Copenhagen,sterbro,1447,186.51142363510715,146.30338631651694,5.597788527988943,0.5915287244401168,0.23218578860978978,0.4119,0.48296579772536674,0.4356
Rome,I Centro Storico,16310,209.67510729613733,230.07124463519312,38.835070508890254,1.0000000000000002,0.3322225669954326,0.6661,0.9999999999999999,0.7774
Rome,II Parioli/Nomentano,2253,144.06835330670216,229.56324900133157,27.60763426542388,0.1213276659582448,0.3144357557839461,0.2179,0.46347494511949183,0.2997
Rome,III Monte Sacro,594,111.37205387205387,222.94107744107745,13.804713804713806,0.017627203400425052,0.08256896894378851,0.0501,0.196088086574576,0.0988
Rome,IV Tiburtina,593,104.65935919055649,222.34738617200674,16.863406408094438,0.017564695586948367,0.061781635712995,0.0397,0.1411923835656077,0.0735
Rome,IX Eur,383,123.30026109660574,243.08093994778068,13.838120104438643,0.004438054756844605,0.7877402506513649,0.3961,0.29363569633453046,0.3619
Rome,V Prenestino/Centocelle,1683,92.12418300653594,220.58288770053477,14.557338086749851,0.08569821227653457,0.0,0.0428,0.038681046224463334,0.0415
Rome,VI Roma delle Torri,312,87.39423076923077,246.71794871794873,10.256410256410255,0.0,0.9150854167460922,0.4575,0.0,0.305
Rome,VII San Giovanni/Cinecittà,2944,125.62771739130434,229.84748641304347,20.44836956521739,0.16452056507063384,0.32438796175652573,0.2445,0.3126693863178246,0.2672
Rome,VIII Appia Antica,1079,117.67377201112141,237.047265987025,22.057460611677477,0.04794349293661708,0.5764789474078311,0.3122,0.24762286713922887,0.2907
Rome,X Ostia/Acilia,975,105.46358974358975,229.33846153846153,13.846153846153847,0.04144268033504188,0.3065651130101399,0.174,0.14776929547428463,0.1653
Rome,XI Arvalia/Portuense,634,104.98895899053628,231.21451104100947,14.353312302839116,0.020127515939492437,0.37225256404503515,0.1962,0.1438878156670227,0.1788
Rome,XII Monte Verde,1740,127.47068965517241,227.44022988505748,19.195402298850574,0.0892611576447056,0.24010098260392088,0.1647,0.3277410174363874,0.219
Rome,XIII Aurelia,2435,149.3277207392197,231.42915811088295,24.394250513347025,0.13270408801100136,0.3797681540510274,0.2562,0.5064854924912249,0.3397
Rome,XIV Monte Mario,769,118.39661898569571,238.6033810143043,23.14694408322497,0.028566070758844857,0.6309643058806467,0.3298,0.25353423280085174,0.3044
Rome,XV Cassia/Flaminia,524,121.46946564885496,249.14312977099237,24.045801526717558,0.013251656457057132,0.9999999999999991,0.5066,0.27866364592280546,0.4306
